RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,EXPSOU,NOBJNM,OBJNAM,QUASOU,SOUACC,TECSOU,VERDAT,STATUS,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND,DEPTH,_enc_cell,depth_m,_sound_id,CATZOC,QUAL_POSACC,QUAL_SOUACC,QUAL_SUREND,QUAL_SURSTA,QUAL_TECSOU,QUAL_VERDAT,QUAL_INFORM,QUAL_SORDAT,QUAL_SORIND,QUAL_ENC_CELL,zoc_label,quality_model_weight,lon,lat
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",27.2,US4TB3P0,27.2,14,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4907379,7.2901807
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",8.2,US4TB3P0,8.2,15,3,,,2004,1969,,,"A) U.S. Navy LIDAR Survey, 2004, Archive No. 04HFM01, Scale 1:5,000-1:10,000; B) U.S. Navy Single Beam Survey, 1969, Archive No. 685036, Scale 1:10,000-1:20,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4907684,7.2730918
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",4.8,US4TB3P0,4.8,16,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.490799,7.3802109
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",28.7,US4TB3P0,28.7,17,3,,,2004,1969,,,"A) U.S. Navy LIDAR Survey, 2004, Archive No. 04HFM01, Scale 1:5,000-1:10,000; B) U.S. Navy Single Beam Survey, 1969, Archive No. 685036, Scale 1:10,000-1:20,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4908295,7.2848415
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",17.9,US4TB3P0,17.9,18,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4908752,7.3835306
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",25.4,US4TB3P0,25.4,19,3,,,2004,1969,,,"A) U.S. Navy LIDAR Survey, 2004, Archive No. 04HFM01, Scale 1:5,000-1:10,000; B) U.S. Navy Single Beam Survey, 1969, Archive No. 685036, Scale 1:10,000-1:20,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4911041,7.2787499
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",27.4,US4TB3P0,27.4,20,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4911041,7.2946973
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",12.0,US4TB3P0,12.0,21,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4912109,7.3763723
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",18.3,US4TB3P0,18.3,22,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4912109,7.3885083
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",16.1,US4TB3P0,16.1,23,3,,,2004,1969,,,"A) U.S. Navy LIDAR Survey, 2004, Archive No. 04HFM01, Scale 1:5,000-1:10,000; B) U.S. Navy Single Beam Survey, 1969, Archive No. 685036, Scale 1:10,000-1:20,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.491272,7.271872
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",15.7,US4TB3P0,15.7,24,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4913483,7.328578
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",39.0,US4TB3P0,39.0,25,3,,,2004,1969,,,"A) U.S. Navy LIDAR Survey, 2004, Archive No. 04HFM01, Scale 1:5,000-1:10,000; B) U.S. Navy Single Beam Survey, 1969, Archive No. 685036, Scale 1:10,000-1:20,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4913635,7.2865415
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",15.7,US4TB3P0,15.7,26,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4913788,7.3342667
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",12.1,US4TB3P0,12.1,27,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4914093,7.2985249
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",27.0,US4TB3P0,27.0,28,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4914246,7.2918
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",21.0,US4TB3P0,21.0,29,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4914246,7.3253331
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",33.0,US4TB3P0,33.0,30,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4914398,7.2974277
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",2.1,US4TB3P0,2.1,31,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4914398,7.3964305
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",26.9,US4TB3P0,26.9,32,3,,,2004,1969,,,"A) U.S. Navy LIDAR Survey, 2004, Archive No. 04HFM01, Scale 1:5,000-1:10,000; B) U.S. Navy Single Beam Survey, 1969, Archive No. 685036, Scale 1:10,000-1:20,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,134.4915466,7.2826085
