lon,lat,depth_m_chart_datum,enc_cell
134.4969025,7.2857919,24.2,US4TB3P0
134.4969025,7.333889,9.3,US4TB3P0
134.4969177,7.2831221,17.7,US4TB3P0
134.4969177,7.2994084,45.0,US4TB3P0
134.4969482,7.3325915,21.0,US4TB3P0
134.4970703,7.2970362,23.4,US4TB3P0
134.4970856,7.2839584,10.6,US4TB3P0
134.4971314,7.2929416,23.4,US4TB3P0
134.4971466,7.2893529,27.3,US4TB3P0
134.4973145,7.2755752,19.2,US4TB3P0
134.4975128,7.4073138,1.7,US4TB3P0
134.4975433,7.2789054,18.2,US4TB3P0
134.4975891,7.2743859,27.1,US4TB3P0
134.4976349,7.3702998,20.8,US4TB3P0
134.4976654,7.2732639,59.0,US4TB3P0
134.4976654,7.3669086,15.6,US4TB3P0
134.4977417,7.3026609,6.4,US4TB3P0
134.4978943,7.2819057,22.1,US4TB3P0
134.4978943,7.3976111,8.1,US4TB3P0
134.4979401,7.294189,22.3,US4TB3P0
134.4980774,7.2957387,24.1,US4TB3P0
134.4980927,7.4086251,1.3,US4TB3P0
134.4981995,7.291564,22.0,US4TB3P0
134.4983215,7.289639,26.5,US4TB3P0
134.4983826,7.3339415,25.0,US4TB3P0
134.4983978,7.2792416,20.9,US4TB3P0
134.4984589,7.3707252,8.8,US4TB3P0
134.4984894,7.2979083,21.9,US4TB3P0
134.4985046,7.2864943,16.5,US4TB3P0
134.4985809,7.3297806,29.0,US4TB3P0
134.4986877,7.2886138,27.0,US4TB3P0
134.4987183,7.2852888,14.9,US4TB3P0
134.4987335,7.2774944,19.4,US4TB3P0
134.4988098,7.2753501,49.0,US4TB3P0
134.4988403,7.3662915,13.9,US4TB3P0
134.4989166,7.2822447,10.4,US4TB3P0
134.4989166,7.3316999,27.0,US4TB3P0
134.4991913,7.2943363,24.1,US4TB3P0
134.4992676,7.3214002,29.0,US4TB3P0
134.4992828,7.2839251,17.5,US4TB3P0
134.4993744,7.2808833,23.0,US4TB3P0
134.4993897,7.2784667,18.6,US4TB3P0
134.4994354,7.2927499,29.9,US4TB3P0
134.499588,7.3347001,23.0,US4TB3P0
134.4996948,7.2703333,238.0,US4TB3P0
134.4997864,7.2872138,6.1,US4TB3P0
134.4998474,7.3002415,22.0,US4TB3P0
134.4998627,7.3329973,29.0,US4TB3P0
134.4998779,7.2975111,21.6,US4TB3P0
134.4998932,7.3028445,23.8,US4TB3P0
134.4999847,7.2796359,10.6,US4TB3P0
134.5000153,7.368597,22.6,US4TB3P0
134.5000458,7.285789,10.6,US4TB3P0
134.5001679,7.2884054,8.0,US4TB3P0
134.5002289,7.2818279,14.6,US4TB3P0
134.5002899,7.2712584,270.0,US4TB3P0
134.5003052,7.2776446,51.0,US4TB3P0
134.5003967,7.2895889,5.0,US4TB3P0
134.500473,7.2989945,20.2,US4TB3P0
134.5006561,7.2960472,18.6,US4TB3P0
134.5007172,7.2865415,13.0,US4TB3P0
134.5007477,7.2809472,17.2,US4TB3P0
134.5007477,7.3307805,29.0,US4TB3P0
134.5007629,7.2849641,19.0,US4TB3P0
134.5008545,7.300561,19.8,US4TB3P0
134.5011292,7.3598056,1.2,US4TB3P0
134.5011749,7.2749,248.0,US4TB3P0
134.5011749,7.292922,25.3,US4TB3P0
134.5012665,7.2817502,14.9,US4TB3P0
134.5012665,7.3039999,7.3,US4TB3P0
134.501358,7.3650112,22.8,US4TB3P0
134.5014801,7.2788749,78.0,US4TB3P0
134.5015411,7.2977696,9.7,US4TB3P0
134.501648,7.3668776,24.9,US4TB3P0
134.50177,7.3017554,18.3,US4TB3P0
134.5019074,7.3339696,21.0,US4TB3P0
134.5019226,7.3581138,0.3,US4TB3P0
134.5020752,7.2843919,14.7,US4TB3P0
134.502243,7.2777638,134.0,US4TB3P0
134.5022736,7.2919221,10.5,US4TB3P0
134.5022736,7.2950583,25.0,US4TB3P0
134.5022888,7.2810416,57.0,US4TB3P0
134.5023346,7.2985249,3.0,US4TB3P0
134.5023956,7.2972279,23.9,US4TB3P0
134.5024109,7.2862721,3.1,US4TB3P0
134.5024262,7.2854166,8.3,US4TB3P0
134.5025635,7.2992749,18.4,US4TB3P0
134.5026856,7.3650947,28.5,US4TB3P0
134.5027924,7.3008862,13.4,US4TB3P0
134.5028534,7.3026252,8.6,US4TB3P0
134.503067,7.3591776,1.2,US4TB3P0
134.5031738,7.3058972,26.5,US4TB3P0
134.5031738,7.3606167,2.5,US4TB3P0
134.5032349,7.3031859,3.1,US4TB3P0
134.5032806,7.296164,29.1,US4TB3P0
134.5033722,7.2837081,95.0,US4TB3P0
134.5034485,7.3575335,1.2,US4TB3P0
134.5035706,7.2846446,70.0,US4TB3P0
134.5036163,7.3634057,30.0,US4TB3P0
134.5036926,7.3584137,4.7,US4TB3P0
134.5037079,7.3342137,19.7,US4TB3P0
134.5037842,7.2942472,24.4,US4TB3P0
134.5040131,7.3260641,25.0,US4TB3P0
134.5041046,7.2975192,23.9,US4TB3P0
134.5041657,7.3004947,12.1,US4TB3P0
134.5041657,7.3076863,14.9,US4TB3P0
134.5041809,7.3028555,16.6,US4TB3P0
134.5044556,7.2808776,259.0,US4TB3P0
134.5044708,7.2879334,7.4,US4TB3P0
134.5046997,7.2860446,69.0,US4TB3P0
134.5047302,7.2930446,19.6,US4TB3P0
134.5047302,7.3614335,26.0,US4TB3P0
134.5047455,7.3642197,1.8,US4TB3P0
134.5047913,7.2986918,10.5,US4TB3P0
134.5048065,7.2915473,13.4,US4TB3P0
134.5050201,7.2891526,3.7,US4TB3P0
134.5050354,7.2962418,25.8,US4TB3P0
134.505127,7.303586,25.6,US4TB3P0
134.5052185,7.3053331,7.2,US4TB3P0
134.5052185,7.3336334,17.7,US4TB3P0
134.5052338,7.2897472,7.5,US4TB3P0
134.5052795,7.3001609,18.9,US4TB3P0
134.5056763,7.301014,23.8,US4TB3P0
134.5056763,7.3599863,32.0,US4TB3P0
134.5058289,7.3020721,11.5,US4TB3P0
134.5058594,7.2881584,15.1,US4TB3P0
134.5059204,7.3054915,2.0,US4TB3P0
134.5059967,7.290164,12.0,US4TB3P0
134.5060577,7.3609638,0.4,US4TB3P0
134.5061646,7.3074555,16.7,US4TB3P0
134.5062561,7.2859082,153.0,US4TB3P0
134.5062561,7.2868972,82.0,US4TB3P0
134.5063171,7.3037863,10.7,US4TB3P0
134.5063324,7.3618112,1.9,US4TB3P0
134.5063782,7.3637891,1.3,US4TB3P0
134.5064087,7.2888861,7.4,US4TB3P0
134.5064087,7.2913666,24.4,US4TB3P0
134.5064392,7.358078,34.0,US4TB3P0
134.5065155,7.2979751,24.1,US4TB3P0
134.506546,7.3597221,5.6,US4TB3P0
134.5066223,7.3013001,18.5,US4TB3P0
134.5066376,7.2797694,337.0,US4TB3P0
134.5066681,7.2895389,3.2,US4TB3P0
134.5068359,7.3046331,3.5,US4TB3P0
134.5069275,7.2961583,25.1,US4TB3P0
134.5070801,7.299253,19.9,US4TB3P0
134.5070953,7.2947831,12.7,US4TB3P0
134.5073547,7.2875776,7.9,US4TB3P0
134.5074463,7.3577418,35.0,US4TB3P0
134.5074768,7.2886972,9.0,US4TB3P0
134.5074768,7.2933612,23.3,US4TB3P0
134.5075378,7.3587027,14.7,US4TB3P0
134.5078125,7.3564444,33.0,US4TB3P0
134.5078888,7.3017221,11.4,US4TB3P0
134.5080109,7.303236,12.7,US4TB3P0
134.5080261,7.2879887,9.7,US4TB3P0
134.5081177,7.2911058,0.1,US4TB3P0
134.5081787,7.2822971,493.0,US4TB3P0
134.5083771,7.2886915,65.0,US4TB3P0
134.5084381,7.2994804,27.9,US4TB3P0
134.5088501,7.2976584,23.9,US4TB3P0
134.5088806,7.357336,14.7,US4TB3P0
134.5090485,7.3011584,23.9,US4TB3P0
134.509079,7.2947445,21.2,US4TB3P0
134.5090942,7.2899637,6.0,US4TB3P0
134.5093994,7.2984419,27.7,US4TB3P0
134.5094299,7.2994194,23.2,US4TB3P0
134.5095673,7.2875276,183.0,US4TB3P0
134.5095978,7.3036752,4.9,US4TB3P0
134.5097351,7.2961474,26.1,US4TB3P0
134.5097809,7.3043666,4.3,US4TB3P0
134.5097809,7.3550944,36.0,US4TB3P0
134.5099182,7.3537278,31.0,US4TB3P0
134.5099487,7.344686,13.9,US4TB3P0
134.5101624,7.302578,22.6,US4TB3P0
134.5102234,7.2888279,111.0,US4TB3P0
134.5102692,7.2991529,25.6,US4TB3P0
134.5103302,7.3413363,10.4,US4TB3P0
134.5103607,7.300303,47.0,US4TB3P0
134.5106201,7.27245,204.0,US4TB3P0
134.5106201,7.2906752,0.6,US4TB3P0
134.5106812,7.3515248,26.0,US4TB3P0
134.5107575,7.3550639,9.7,US4TB3P0
134.5107727,7.2984223,25.0,US4TB3P0
134.5108337,7.3460221,16.7,US4TB3P0
134.5110169,7.2948279,28.0,US4TB3P0
134.5110779,7.3432221,12.0,US4TB3P0
134.511261,7.304872,16.2,US4TB3P0
134.5113068,7.2745833,172.0,US4TB3P0
134.5114899,7.3014221,42.0,US4TB3P0
134.5114899,7.3525944,32.0,US4TB3P0
134.5115509,7.3039918,18.6,US4TB3P0
134.5115662,7.2899084,4.3,US4TB3P0
134.5115814,7.2932749,25.7,US4TB3P0
134.5116425,7.2858667,314.0,US4TB3P0
134.5116882,7.2729998,181.0,US4TB3P0
134.5117035,7.3543363,15.7,US4TB3P0
134.5118103,7.348125,17.5,US4TB3P0
134.5118866,7.3508639,29.0,US4TB3P0
134.5121765,7.3450666,25.0,US4TB3P0
134.5122833,7.2973862,25.5,US4TB3P0
134.5123291,7.2913055,0.4,US4TB3P0
134.5123291,7.2999082,45.0,US4TB3P0
134.5124664,7.2894945,8.1,US4TB3P0
134.5125122,7.2753196,157.0,US4TB3P0
134.5125122,7.3468332,3.9,US4TB3P0
134.512619,7.2881947,185.0,US4TB3P0
134.5127869,7.2818389,477.0,US4TB3P0
134.5128021,7.352025,30.0,US4TB3P0
134.5128937,7.3435669,18.5,US4TB3P0
134.51297,7.3033471,17.2,US4TB3P0
134.5130158,7.3529553,9.7,US4TB3P0
134.5130615,7.3487444,5.5,US4TB3P0
134.5131226,7.3426528,16.6,US4TB3P0
134.5131378,7.3461919,13.7,US4TB3P0
134.5131531,7.2901526,4.6,US4TB3P0
134.5132752,7.2957778,24.6,US4TB3P0
134.513504,7.2916279,0.2,US4TB3P0
134.5135956,7.3468447,11.9,US4TB3P0
134.5137787,7.2902498,8.0,US4TB3P0
134.5138245,7.2759085,134.0,US4TB3P0
134.5140991,7.2994833,21.4,US4TB3P0
134.5140991,7.3484445,30.0,US4TB3P0
134.5141144,7.2936196,0.6,US4TB3P0
134.5141144,7.3024583,22.9,US4TB3P0
134.5141296,7.3409305,14.1,US4TB3P0
134.5141754,7.291564,3.9,US4TB3P0
134.5141907,7.3007083,18.3,US4TB3P0
134.5141907,7.3506193,30.0,US4TB3P0
134.5144501,7.2967305,28.2,US4TB3P0
134.5145721,7.2986527,29.0,US4TB3P0
134.5146942,7.2952113,26.1,US4TB3P0
134.5148926,7.3503833,11.4,US4TB3P0
134.5149384,7.3472834,31.0,US4TB3P0
134.5149841,7.2766833,120.0,US4TB3P0
134.5150604,7.290297,109.0,US4TB3P0
134.5151672,7.3457947,30.0,US4TB3P0
134.515213,7.3042388,17.8,US4TB3P0
134.5152283,7.3396583,14.7,US4TB3P0
134.5153046,7.2847972,365.0,US4TB3P0
134.5153656,7.2915387,7.6,US4TB3P0
134.5154114,7.2974777,31.0,US4TB3P0
134.5155945,7.2996669,36.0,US4TB3P0
134.5156097,7.3057084,21.6,US4TB3P0
134.5156097,7.3420639,34.0,US4TB3P0
134.5156403,7.3009224,36.0,US4TB3P0
134.5157623,7.3446002,17.1,US4TB3P0
134.5157929,7.2922335,4.4,US4TB3P0
134.5158234,7.3436942,4.5,US4TB3P0
134.5159302,7.3030863,24.0,US4TB3P0
134.516037,7.2953553,3.3,US4TB3P0
134.516098,7.2939029,21.6,US4TB3P0
134.5161133,7.3429084,6.1,US4TB3P0
134.5162048,7.3494778,9.9,US4TB3P0
134.5164185,7.2986083,26.9,US4TB3P0
134.5164337,7.3394303,36.0,US4TB3P0
134.5164337,7.3483362,28.0,US4TB3P0
134.5164795,7.2905359,17.2,US4TB3P0
134.5165405,7.2915859,8.1,US4TB3P0
134.516571,7.3424692,15.9,US4TB3P0
134.5166168,7.3019276,14.4,US4TB3P0
134.5166626,7.2890554,135.0,US4TB3P0
