RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,EXPSOU,NOBJNM,OBJNAM,QUASOU,SOUACC,TECSOU,VERDAT,STATUS,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND,DEPTH,_enc_cell,depth_m,_sound_id,CATZOC,QUAL_POSACC,QUAL_SOUACC,QUAL_SUREND,QUAL_SURSTA,QUAL_TECSOU,QUAL_VERDAT,QUAL_INFORM,QUAL_SORDAT,QUAL_SORIND,QUAL_ENC_CELL,zoc_label,quality_model_weight,ALLEN_class_name,semantic_zone,allen_mapped,DEPARE_DRVAL1,DEPARE_DRVAL2,DEPARE__enc_cell,DEPARE_VERDAT,inside_osm_reef_polygon,working_hypothesis_60_70,working_hypothesis_gt100,lon,lat
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",114.0,US4TB3P0,114.0,1230,5,,,1938,1915,,,"Former Japan Chart 481 (Ed. 1940, Rev. 1944), from Japan surveys, Scale 1:25,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,D,0.22,,outside_allen_geomorphic_or_unclassified,False,100.0,200.0,US4TB3P0,,False,False,True,134.6047516,7.3413887
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",27.2,US4TB3P0,27.2,1231,5,,,1938,1915,,,"Former Japan Chart 481 (Ed. 1940, Rev. 1944), from Japan surveys, Scale 1:25,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,D,0.22,,outside_allen_geomorphic_or_unclassified,False,20.0,30.0,US4TB3P0,,False,False,False,134.6048279,7.3522387
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",29.0,US4TB3P0,29.0,1232,5,,,1938,1915,,,"Former Japan Chart 481 (Ed. 1940, Rev. 1944), from Japan surveys, Scale 1:25,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,D,0.22,,outside_allen_geomorphic_or_unclassified,False,20.0,30.0,US4TB3P0,,False,False,False,134.6049042,7.3685584
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",15.5,US4TB3P0,15.5,1233,5,,,1938,1915,,,"Former Japan Chart 481 (Ed. 1940, Rev. 1944), from Japan surveys, Scale 1:25,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,D,0.22,,outside_allen_geomorphic_or_unclassified,False,10.0,20.0,US4TB3P0,,False,False,False,134.6049347,7.3530779
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",30.0,US4TB3P0,30.0,1234,5,,,1938,1915,,,"Former Japan Chart 481 (Ed. 1940, Rev. 1944), from Japan surveys, Scale 1:25,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,D,0.22,,outside_allen_geomorphic_or_unclassified,False,20.0,30.0,US4TB3P0,,False,False,False,134.6049805,7.3542137
8841,1,2,129,1,550,-2004046809,19802,0226888CAC274D5A,,,,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",7.2,US4TB3P0,7.2,1235,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,Reef Slope,reef_slope,True,5.0,10.0,US4TB3P0,,False,False,False,134.6049957,7.3494029
8842,1,2,129,1,550,199852186,19802,02260BE9809A4D5A,,,3.0,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",54.0,US4TB3P0,54.0,1283,5,,,1938,1915,,,"Former Japan Chart 481 (Ed. 1940, Rev. 1944), from Japan surveys, Scale 1:25,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,D,0.22,,outside_allen_geomorphic_or_unclassified,False,30.0,50.0,US4TB3P0,,False,False,False,134.5583038,7.3224554
8842,1,2,129,1,550,199852186,19802,02260BE9809A4D5A,,,3.0,,,,,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",58.0,US4TB3P0,58.0,1284,3,,,2004,,,,"U.S. Navy LIDAR Survey, Archive No. 04HFM01, Scale 1:5,000-1:10,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,B,0.72,,outside_allen_geomorphic_or_unclassified,False,30.0,50.0,US4TB3P0,,False,False,False,134.5760193,7.341836
8843,1,2,129,1,550,-1126871900,19802,0226BCD54CA44D5A,,,,,,['4'],,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",77.0,US4TB3P0,77.0,1287,5,,,1938,1915,,,"Former Japan Chart 481 (Ed. 1940, Rev. 1944), from Japan surveys, Scale 1:25,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,D,0.22,,outside_allen_geomorphic_or_unclassified,False,50.0,100.0,US4TB3P0,,False,False,False,134.54599,7.3171887
8843,1,2,129,1,550,-1126871900,19802,0226BCD54CA44D5A,,,,,,['4'],,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",58.0,US4TB3P0,58.0,1293,5,,,1938,1915,,,"Former Japan Chart 481 (Ed. 1940, Rev. 1944), from Japan surveys, Scale 1:25,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,D,0.22,,outside_allen_geomorphic_or_unclassified,False,50.0,100.0,US4TB3P0,,False,False,False,134.5471802,7.3183332
8843,1,2,129,1,550,-1126871900,19802,0226BCD54CA44D5A,,,,,,['4'],,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",25.0,US4TB3P0,25.0,1294,5,,,1938,1915,,,"Former Japan Chart 481 (Ed. 1940, Rev. 1944), from Japan surveys, Scale 1:25,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,D,0.22,,outside_allen_geomorphic_or_unclassified,False,20.0,30.0,US4TB3P0,,False,False,False,134.5473938,7.3202086
8843,1,2,129,1,550,-1126871900,19802,0226BCD54CA44D5A,,,,,,['4'],,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",49.0,US4TB3P0,49.0,1305,5,,,1938,1915,,,"Former Japan Chart 481 (Ed. 1940, Rev. 1944), from Japan surveys, Scale 1:25,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,D,0.22,,outside_allen_geomorphic_or_unclassified,False,30.0,50.0,US4TB3P0,,False,False,False,134.5495758,7.316339
8843,1,2,129,1,550,-1126871900,19802,0226BCD54CA44D5A,,,,,,['4'],,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",49.0,US4TB3P0,49.0,1308,5,,,1938,1915,,,"Former Japan Chart 481 (Ed. 1940, Rev. 1944), from Japan surveys, Scale 1:25,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,D,0.22,,outside_allen_geomorphic_or_unclassified,False,30.0,50.0,US4TB3P0,,False,False,False,134.5497589,7.3214359
8843,1,2,129,1,550,-1126871900,19802,0226BCD54CA44D5A,,,,,,['4'],,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",38.0,US4TB3P0,38.0,1312,5,,,1938,1915,,,"Former Japan Chart 481 (Ed. 1940, Rev. 1944), from Japan surveys, Scale 1:25,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,D,0.22,,outside_allen_geomorphic_or_unclassified,False,30.0,50.0,US4TB3P0,,False,False,False,134.5513458,7.318922
8843,1,2,129,1,550,-1126871900,19802,0226BCD54CA44D5A,,,,,,['4'],,,,,,,,,29999,,,,20150206,"US,US,reprt,L-246-2015",38.0,US4TB3P0,38.0,1320,5,,,1938,1915,,,"Former Japan Chart 481 (Ed. 1940, Rev. 1944), from Japan surveys, Scale 1:25,000",20150206,"US,US,reprt,L-246-2015",US4TB3P0,D,0.22,,outside_allen_geomorphic_or_unclassified,False,30.0,50.0,US4TB3P0,,False,False,False,134.5537262,7.3156915
